Country,geo_longitude,geo_latitude,swingstate,dem_Score,dem_Type,FreedomHouse,EP_Govern,InterestGroups,Eff_Support,Gov_Partner,SponsorReso,NtlReplies,WCIT_Record,UNGGE,FOC,G20Mem,CyberPower,UNSC,IntPenRate,FBB_Sub,MobilePen,SocialNetworkUse,DigiContentAccess,IntlIntBandwith,WEF_NetReady,WEF_InnoCapacity,ICT_Goods_X,ICT_Services_X,ICT_Goods_Imp,BertStatus,WGI_StabilityViolence,LiteracyRate,Pop_15_29,HDI,CivicusEnviro,CSO_Traditions,CSO_Index,E_Participation,PoliWebUse
"Macedonia, FYR.",41.6137143,21.743258,null,6.16,2,2,9,6,9,8,0,0,null,0,0,0,null,null,63.1,14.62450134,108.1612263,5.8,5.1,17.9,3.89,3.2,0.337782354,23.98631101,3.686389522,7.35,-0.44,95.64004,22,0.74,0.55,5,6,0.1316,null
Malaysia,102.2656823,4.5693754,1,6.41,2,2,2,4,7,9,0,0,1,0,0,0,null,null,65.8,8.389321828,140.9350818,6,5.6,10.7,4.82,4.9,29.43901467,27.85588279,25.62321138,6.13,0,null,25.2,0.769,0.5,6,5,0.5,7
Moldova,28.4165225,46.9161023,1,6.32,2,2,7,6,7,6,0,0,0,0,0,0,null,null,43.4,11.85409117,115.937329,5.3,5.1,91.1,3.84,2.7,0.561561983,25.31027124,3.45044747,6.24,0.02,82.84088308,24.1,0.66,0.52,7,8,0.3947,null
Mongolia,103.8499736,46.8250388,1,6.35,2,1,7,6,8,8,0,0,0,0,1,0,null,null,16.4,3.634439337,117.6225928,5.3,5.3,53.6,4.01,3.1,null,20.69216366,null,6.09,0.45,null,29.7,0.675,null,7,6,0.6053,null
Morocco,-7.3205368,31.2005672,null,4.07,3,2,2,4,7,6,0,0,1,0,0,0,null,null,55,2.09079328,119.6873872,5.8,4.5,7.6,3.64,2.8,null,21.7959865,null,4.5,-0.46,98.45932,27.2,0.591,0.41,5,5,0.3947,5
Namibia,17.3231107,-23.2335499,1,6.24,2,1,9,6,7,8,0,0,1,0,0,0,null,null,12.9,2.779482438,103.0032147,4.9,4.3,2.3,3.29,3.4,0.626738158,null,3.622383708,6.99,0.94,92.67915,33.2,0.608,0.53,4,5,0.0263,5
Nicaragua,-84.8700308,12.3724928,null,5.56,3,2,8,6,5,6,1,0,null,0,0,0,null,null,1.4,1.65913841,89.77483745,4.4,4,12.9,2.93,3.4,0.142928498,18.6540732,4.400943842,5.59,-0.37,null,31.5,0.599,0.44,5,4,0.1316,null
Nigeria,7.9999721,9.6000359,null,3.77,4,2,2,4,7,7,0,0,1,0,0,0,null,null,32.9,0.008569317,67.68181156,5.3,4.6,0.4,3.27,3.4,0.016838207,4.392706462,3.910269287,4.63,-2.05,null,27,0.47,0.38,5,5,0.1842,3
North Korea,127.399971,40.3123959,null,1.08,4,3,1,1,1,1,0,0,null,0,0,0,null,null,null,null,6.923608005,null,null,null,null,null,null,null,null,2,-0.1,null,23.8,null,null,10,1,0,null
Oman,57.0036901,21.0000287,null,3.26,4,3,1,3,5,7,0,1,1,0,0,0,null,null,60,2.452241483,181.7329118,5.3,5.3,6.3,4.48,3.6,0.142685197,24.07239819,2.909508631,5.41,0.47,null,31.1,0.731,null,8,3,0.4474,null
Pakistan,71.247499,30.3308401,null,4.57,3,2,2,3,4,3,0,0,null,0,0,0,null,null,10,0.515096487,66.76881125,4.8,4.4,8.2,3.35,3.7,0.236822273,20.06263816,3.555264101,3.81,-2.68,null,30.6,0.515,null,7,3,0.1316,7
Panama,-81.3066246,8.3096067,1,7.08,2,1,9,7,4,8,0,2,1,0,0,0,null,null,45.2,8.213372116,186.7344222,6.1,5,44.1,4.22,3.7,7.873173662,8.07822938,8.084199741,7.39,-0.15,null,25.4,0.78,0.57,5,4,0.3158,null
Papua New Guinea,144.2489081,-5.6816069,null,6.32,2,2,5,5,6,5,0,0,1,0,0,0,null,null,2.3,0.128310409,37.7818366,null,null,null,null,null,null,null,null,5.66,-0.64,null,27.4,0.466,null,6,5,0,null
Paraguay,-58.1693445,-23.3165935,null,6.26,2,2,7,6,8,8,0,0,1,0,0,0,null,null,27.1,1.110289284,101.6573537,4.9,4.3,9.5,3.37,3,0.102702252,1.939056086,21.65974334,6.39,-0.84,62.42167,29.5,0.669,null,6,8,0.1579,null
Peru,-75.0458515,-6.8699697,1,6.47,2,1,7,5,8,8,0,0,0,0,0,0,null,null,38.2,4.78338999,98.83717634,5.1,4.4,9.3,3.39,3.1,0.053732404,15.0593479,7.389967533,6.94,-0.86,null,27.6,0.741,null,4,5,0.3947,5
Philippines,122.7312101,12.7503486,1,6.3,2,2,6,6,5,7,0,2,0,0,0,0,null,null,36.2,2.225114016,106.7673268,6,4.9,12.4,3.73,3.8,22.74042607,67.27956989,13.16044875,6.18,-1.16,null,27.6,0.654,null,null,null,0.2105,3
Qatar,51.2295295,25.3336984,null,3.18,4,3,1,4,9,8,0,5,1,0,0,0,null,null,88.1,8.201143621,134.106751,6.3,6,22.3,5.1,4.8,null,null,null,6.1,1.21,90.34799,29.3,0.834,null,8,4,0.6316,null
Republic of Congo,14.8965794,-0.6605789,null,6.54,2,1,9,7,8,8,0,0,null,0,0,0,null,null,50,15.89712354,106.1366778,5.4,5.2,126.1,3.86,3.4,7.821129363,36.7034471,7.984901044,8.17,0.07,null,19.5,0.786,0.59,5,6,0.0789,null
Russia,97.7453061,64.6863136,null,3.74,4,3,7,4,4,5,1,4,1,1,0,0,31.7,null,53.3,14.4763115,183.5182139,5.1,5.1,31.7,4.13,3.5,0.256656641,31.92455578,7.693379792,5.73,-0.82,97.70193,20.4,0.788,0.45,7,3,0.6579,5
Saudi Arabia,42.3528328,25.6242618,null,1.71,4,3,1,3,5,6,0,1,1,0,0,0,null,null,54,6.84808184,184.6788935,5.5,5.5,33,4.82,3.9,null,3.590032091,null,4.35,-0.46,null,25,0.782,null,9,3,0.6316,0
Serbia,20.55144,44.1534121,1,6.33,2,1,9,7,8,8,1,1,0,0,0,0,null,null,48.1,10.17575439,92.80270047,4.2,4.2,76.8,3.7,2.8,1.419023104,42.0019184,4.295099763,7.51,-0.22,null,24.7,0.769,0.54,4,7,0.2368,null
Singapore,103.852038,1.2904527,1,5.88,3,2,2,4,8,8,0,0,1,0,0,0,null,null,78.2,26.0830953,153.3975182,6.2,6.4,343.7,5.96,4.8,28.91076562,23.96139661,23.54167751,7.25,1.34,43.2831,30.3,0.895,null,6,5,0.9474,5
South Africa,24.991639,-28.8166236,1,7.79,2,1,8,8,8,8,0,0,1,0,0,0,30.2,null,41,2.182179896,134.7976985,5.3,4.8,18.9,3.87,4.1,0.820225113,10.55610626,8.380118232,7.34,0,null,18.6,0.629,0.59,3,6,0.1579,7
South Korea,127.096405,35.8615204,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Sri Lanka,80.70435803,7.877,null,5.75,3,2,6,6,6,6,0,0,1,0,0,0,null,null,18.3,1.993983099,95.76187773,4.8,4.4,5.2,3.88,3.8,0.387768178,24.61713123,3.542381217,6.21,-0.71,null,22.9,0.715,null,4,4,0.0789,null
Syria,39.0494106,34.6401861,null,6.65,2,3,2,3,4,4,1,1,null,0,0,0,null,null,24.3,1.789968505,61.21886911,null,null,null,null,null,null,null,null,3.9,-2.69,null,30.2,0.648,null,9,2,0.0263,null
Tajikistan,71.2083055,38.825034,null,2.51,4,3,2,2,6,3,1,1,null,0,0,0,null,null,14.5,0.076284601,92.21960641,4.3,4.7,0.5,3.29,null,null,40.73527335,null,3.5,-1.16,84.05794,30.5,0.622,0.38,8,4,0,null
Thailand,100.83273,14.8971921,null,6.55,2,2,2,5,5,5,0,1,1,0,0,0,null,null,26.5,6.234460521,120.2925445,5.4,4.7,24.6,3.86,3.4,15.57398749,16.18970684,11.91912197,5.62,-1.21,null,22.5,0.69,0.5,6,4,0.3158,5
Tunisia,9.400138,33.8439408,1,5.67,3,2,2,3,6,6,0,0,1,0,1,0,null,null,41.4,4.785207738,119.9564631,null,null,null,null,3.2,7.376833321,9.562124805,6.625126445,4.98,-0.73,98.83491,25.3,0.712,null,7,3,0.3684,10
Turkey,35.2408826,38.9568857,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Turkmenistan,59.3924609,39.3763807,null,1.72,4,3,2,2,3,2,1,1,null,0,0,0,null,null,7.2,0.027081085,76.46537683,null,null,null,null,null,null,null,null,3.54,0.35,94.10609,30.8,0.698,null,10,1,0,null
Ukraine,31.2718321,49.4871968,null,5.91,3,2,6,5,6,6,1,3,1,0,0,0,null,null,33.7,8.10733928,132.0501538,5.2,5.4,9.8,3.87,3.2,0.891249774,19.20776943,2.58609117,5.96,-0.1,null,20.5,0.74,0.56,5,4,0.1579,null
United Arab Emirates,53.9994829,24.0002488,null,2.58,4,3,1,3,8,8,0,0,1,0,0,0,null,null,85,11.74191848,169.9416213,6.2,6.1,27.6,5.07,4,null,null,null,5.73,0.88,99.71874,28.6,0.818,null,8,4,0.7368,3
Uruguay,-56.0201525,-32.8755548,null,8.17,1,1,10,10,10,10,0,0,1,0,0,0,null,null,55.1,16.60386126,147.2966255,5.7,null,32.1,4.16,3.4,null,15.87108995,null,9.3,0.71,93.59723224,23,0.792,0.73,2,10,0.1842,7
Uzbekistan,63.9528098,41.3234715,null,1.72,4,3,2,2,3,2,1,0,null,0,0,0,null,null,36.5,0.722034017,72.20763996,null,null,null,null,null,null,null,null,3.01,-0.52,null,31.4,0.654,0.29,8,1,0.2368,null
Venezuela,-66.1109318,8.0018709,null,5.15,3,2,2,3,2,2,0,1,1,0,0,0,null,null,44,6.735698408,102.1000817,5.8,4.4,8.1,3.33,2.8,0.008479032,11.90583975,6.387965335,4.47,-0.99,83.22246,26.8,0.748,0.43,4,3,0.2632,7
Vietnam,108.4265113,13.2904027,null,2.89,4,3,2,2,7,8,1,0,1,0,0,0,null,null,39.5,4.955518134,149.4099973,4.7,5.3,10,3.74,3.4,null,null,null,4.84,0.25,null,28,0.617,0.37,9,4,0.1053,5
Zimbabwe,29.7468414,-18.4554963,null,2.67,4,3,2,4,3,2,1,0,1,0,0,0,null,null,17.1,0.548999291,96.92828576,4.6,3.6,1.7,3.17,2.9,null,null,null,3.59,-0.79,83.58272,32.6,0.397,0.35,7,2,0.0263,5
