id,Albania,Algeria,Andorra,Antigua and Barbuda,Argentina,Armenia,Azerbaijan,Bahamas,Bahrain,Barbados,Belarus,Belize,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Cameroon,Cape Verde,China,Colombia,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Fiji,Gabon,Georgia,Ghana,Grenada,Guatemala,Guyana,Honduras,Hong Kong,India,Indonesia,Iran,Iraq,Jamaica,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Libya,Liechtenstein,Lithuania,Macedonia,Malaysia,Maldives,Malta,Marshall Islands,Mauritius,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Namibia,Nauru,Nicaragua,Nigeria,North Korea,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Qatar,Romania,Russian Federation,San Marino,Saudi Arabia,Serbia,Seychelles,Singapore,South Africa,Sri Lanka,St. Lucia,St.Kitts and Nevis,St.Vincent and the Grenadines,Suriname,Swaziland,Syrian Arab Republic,Tajikistan,Thailand,Tonga,Trinidad and Tobago,Tunisia,Turkmenistan,Ukraine,United Arab Emirates,Uruguay,Uzbekistan,Venezuela,Viet Nam,Zimbabwe
WEF_Uni-Indus,2.6,2.1,,,3.7,3.2,3.4,,2.9,4.3,,,3.5,4.3,3.2,4,3.6,3,3,3.2,4.4,3.8,4.4,2.8,3.5,,3.8,,3.3,3.9,2.6,3.2,,2.3,2.7,3.4,,3.8,3.7,4.9,3.3,4,4.5,3.3,,3.6,3.4,3.4,4.3,,3,2.2,3.6,3.1,2,,4.6,3.4,5,,3.8,,3.3,,2.7,,3,4,3,3.5,,3.3,3.3,,4,3.2,,4.2,,2.8,3.1,3.6,5.5,3.3,3.6,,4.5,3.2,3.4,5.6,4.5,3,,,,3.2,3.2,,,3.9,,3.2,3.1,,3.4,4.8,3.6,,3.4,3.3,3.1
WGI-VoiceAccountability,0.01,-0.91,1.43,0.65,0.25,-0.57,-1.26,0.94,-1.32,1.18,-1.54,0.69,-0.13,-0.14,0.5,0.43,-0.49,0.38,-1.03,0.95,-1.58,-0.11,1.06,-0.79,0.48,-1.43,1,0.96,0.05,-0.33,-0.74,-0.08,-0.87,-0.85,-0.02,0.41,0.78,0.84,-0.01,-0.51,0.62,0.35,0.03,-1.57,-1.13,0.43,-0.73,-1.15,-0.3,-0.22,-0.62,-0.64,0.74,-0.42,-0.94,1.48,0.91,0,-0.34,-0.52,1.15,1.19,0.86,1.05,-0.09,0.07,0.02,0.23,-0.61,0.39,1.09,-0.53,-0.73,-2.17,-0.96,-0.87,1.2,0.45,-0.04,-0.15,0.07,-0.04,-0.79,0.3,-0.96,1.2,-1.8,0.17,0.09,0.08,0.56,-0.6,1.11,1.19,1.09,0.28,-1.21,-1.79,-1.37,-0.34,0.44,0.45,-0.19,-2.21,-0.29,-1,1.02,-1.98,-0.92,-1.38,-1.45
WGI-PoliStab,-0.16,-1.34,1.32,1,0.07,0.11,-0.69,1.18,-1.13,1.2,0.02,0.18,-0.5,-0.54,1.11,0.07,0.92,0.33,-0.58,0.78,-0.54,-1.4,0.63,-1.26,0.58,0.32,0.63,1.06,0.23,-0.6,-1.48,0.21,-0.04,0.31,-0.67,0.1,0.45,-0.65,-0.48,-0.4,0.98,-1.25,-0.57,-1.32,-1.93,0.1,-0.52,-0.37,-1.29,-1.15,0.18,-0.89,0.43,-1.65,-1.56,1.41,0.75,-0.44,0,-0.28,1.04,1.06,0.97,1.16,0.02,1.05,0.45,0.56,-0.46,0.94,1.06,-0.37,-2.05,-0.1,0.47,-2.68,1.06,-0.15,-0.64,-0.84,-0.86,-1.16,1.21,0.07,-0.82,1.06,-0.46,-0.22,0.75,1.34,0,-0.71,0.91,1,0.91,0.08,-0.4,-2.69,-1.16,-1.21,0.93,0.11,-0.73,0.35,-0.1,0.88,0.71,-0.52,-0.99,0.25,-0.79
WCITVote,0,1,0,,1,0,1,,1,1,0,1,,,1,1,1,0,,1,1,0,0,1,0,1,0,,1,,1,1,,1,0,1,,1,1,,,0,1,1,1,1,1,1,0,,1,1,0,1,1,0,0,,1,,0,0,1,,0,,0,0,1,1,,,1,,1,,,1,1,1,0,0,1,,1,,1,0,,1,1,1,1,,,,1,,,1,,1,1,,1,1,1,,1,1,1
PoliWeb,,,,,7,,,,5,,,,,,3,5,,,5,,0,10,10,,,,,,,5,,,,,,5,,,,,,5,5,,,5,3,5,5,,,,,,,,,,7,,,,5,,,,,,5,5,,,3,,,7,,,,,5,3,,,5,,0,,,5,7,,,,,,,,,5,,,10,,,3,7,,7,5,5
E-participation,0.1053,0.0526,0.1579,0.1316,0.2895,0,0.1316,0.0789,0.6579,0.0263,0.0789,0.1842,0.2105,0,0.0263,0.5,0.4737,0.0263,0.0263,0.2368,0.2105,0.7368,0.3158,0.1316,0.2895,0.0526,0.0789,0.0263,0.4737,0.2368,0.6842,0.5526,0.0789,0.1053,0.2105,0.1053,0.2105,0.2368,0,0.1316,,0.1842,0.2105,0.1842,0.1053,0,0.1053,0.9474,0.0526,,0.1842,0.2895,0.2105,0.3158,0,0.2368,0.5263,0.1316,0.5,0.0263,0.2632,0,0.0789,0.0263,0.3947,0.1842,0.6053,0.3158,0.3947,0.0263,0,0.1316,0.1842,0,0.4474,0.1316,0.0263,0.3158,0,0.1579,0.3947,0.2105,0.6316,0.0789,0.6579,0,0.6316,0.2368,0.0789,0.9474,0.1579,0.0789,0.1053,0.0526,0.1053,0,0.0526,0.0263,0,0.3158,0.0263,0.0789,0.3684,0,0.1579,0.7368,0.1842,0.2368,0.2632,0.1053,0.0263
CivicusEnabEnviro,0.55,,,,0.61,0.47,0.43,,,,0.41,,0.52,0.52,0.58,0.59,,,,,0.41,0.52,0.66,,0.6,,0.71,,0.51,0.48,0.4,0.56,,0.4,0.5,0.56,,0.54,,0.45,,0.5,0.52,0.31,0.4,,0.41,0.43,0.43,0.52,,0.43,0.65,,,,0.65,0.55,0.5,,0.7,,,,0.52,,,0.55,0.41,0.53,,0.44,0.38,,,,,0.57,,,0.57,,,0.59,0.45,,,0.54,,,0.59,,,,,,,,0.38,0.5,,0.64,,,0.56,,0.73,0.29,0.43,0.37,0.35
InternetUsers,,,86.43442462,83.78716745,55.8,39.16079157,54.2,71.74820281,88,73.32981369,46.90600584,25,34.18843423,65.35609448,11.5,49.84799936,60.27306504,55.14809787,5.69898724,34.7434142,42.30011749,48.9843188,47.50091452,2.37895803,63,25.64170387,61,55.17701416,45,35.13450622,44.07,25.5,,8.616714489,45.50309801,17.10767832,42.09025566,16,34.30804622,18.11987014,72.8,12.58006091,15.36,25.99763603,7.1,46.5,41,53.31566912,32.09541711,,79.17820132,21.72350899,74,61.24978572,19.8637,89.4077,68,63.1477,65.8,38.9301,70,10,41.3946,25.974423,43.37,87,16.4,56.83878255,55,12.9414,,13.5,32.8763,,60,9.9637,,45.1999,2.301956866,27.0758,38.2,36.2351,88.10436688,50,53.2748,50.8826,54,48.1,47.076,74.1818,41,18.2854,48.6281,79.34889896,47.52,34.6812,20.78178258,24.3001,14.51,26.5,34.8609,59.5162,41.4416,7.1958,33.7,85,55.1146,36.5213,44.0456,39.49,17.0908
Population,3162083,38481705,78360,89069,41086927,2969081,9297507,371960,1317827,283221,9464000,324060,10496285,3833916,2003910,198656019,412238,7304632,21699631,494401,1350695000,47704427,4805295,19839750,4267000,11270957,1128994,71684,10276621,15492264,80721874,6297394,874742,1632572,4511800,25366462,105483,15082831,795369,7935846,7154600,1236686732,246864191,76424443,32578209,2712100,6318000,16797459,43178141,1806366,3250496,5582100,2025473,4424888,6154623,36656,2985509,2105575,29239927,338442,418366,52555,1291456,103395,3559541,37579,2796484,621081,32521143,2259393,,5991733,168833776,24763188,3314001,179160111,20754,3802281,7167010,6687361,29987800,96706764,2050514,21326905,143533000,31247,28287855,7223887,87784,5312400,51189306.61,20328000,180870,53584,109373,534541,1230985,22399254,8008990,66785001,104941,1337439,10777500,5172931,45593300,9205651,3395253,29776850,29954782,88775500,13724317
USAID-NGO,3.9,,,,,3.9,4.7,,,,5.8,,,3.7,4.2,,,3.3,,,,,,,3.2,,,,,,,,,5.4,4.2,4.3,,,,,,,,,,,,4.1,3.9,3.9,,4,2.7,,,,2.7,3.7,,,,,,,4.1,,,4,,,,,4.6,,,,,,,,,,,3.5,4.4,,,4.2,,,3.6,,,,,,,,4.8,,,,,6.4,3.4,,,5.7,,,4.8
